snake_x,snake_y,food_x,food_y,direction_snake,direction_food,move_made
300,135,315,175,right,up,s
300,155,315,195,right,down,s
300,175,315,195,right,down,s
300,195,315,215,right,down,s
300,215,315,235,right,down,s
300,235,315,235,right,down,s
300,255,315,255,right,right,s
300,275,335,255,down,right,a
280,275,335,255,down,right,a
260,275,335,255,left,right,d
280,275,335,255,left,right,d
300,275,335,275,left,down,d
320,275,335,275,left,down,d
80,75,175,175,right,right,d
100,75,195,175,right,right,d
120,75,215,175,right,right,a
100,75,215,175,right,right,a
80,75,235,175,right,left,a
60,75,215,175,left,left,s
60,95,215,175,left,left,s
60,115,195,175,left,left,s
60,135,175,175,left,left,s
60,155,175,195,down,down,d
80,155,175,195,down,down,d
100,155,175,215,down,down,d
120,155,175,235,down,down,d
140,155,175,235,down,down,d
160,155,175,255,down,right,d
180,155,195,255,down,right,d
200,155,195,255,right,right,s
200,175,215,255,right,right,s
200,195,235,255,right,right,s
200,215,235,235,right,up,s
200,235,235,235,down,up,d
220,235,235,215,down,up,d
240,235,235,195,down,up,d
260,235,235,195,down,up,d
280,235,235,175,down,down,d
300,235,235,195,down,down,d
320,235,235,195,right,down,w
320,215,235,215,right,down,w
320,195,235,235,right,down,w
320,175,255,235,up,right,a
300,175,255,235,up,right,a
280,175,275,235,up,right,a
260,175,295,235,up,right,a
240,175,295,235,up,right,a
220,175,315,235,left,up,s
220,195,315,215,left,up,s
220,215,315,215,left,up,s
220,235,315,195,down,up,d
240,235,315,175,down,up,d
260,235,315,195,down,down,d
280,235,315,195,down,down,d
300,235,315,215,right,down,w
300,215,315,235,right,down,w
300,195,315,235,right,down,w
300,175,315,255,right,right,w
300,155,335,255,right,right,w
300,135,335,255,right,right,w
300,115,335,255,right,right,w
300,95,335,255,up,right,s
300,115,335,275,up,down,s
300,135,335,275,up,down,s
300,155,335,295,up,down,s
300,175,335,315,up,down,s
300,195,335,315,down,down,a
280,195,335,335,down,right,a
260,195,335,335,down,right,a
240,195,335,335,down,right,a
220,195,335,335,down,right,a
200,195,335,335,down,right,a
180,195,315,335,down,left,a
160,195,315,335,left,left,s
160,215,295,335,left,left,s
160,235,275,335,left,left,s
160,255,275,335,left,left,s
160,275,255,335,down,down,d
180,275,255,335,down,down,d
200,275,255,335,down,down,d
220,275,255,335,down,down,d
240,275,255,335,down,down,d
260,275,235,335,right,left,s
260,295,235,335,right,left,s
260,315,215,335,right,left,s
260,335,195,335,down,left,d
280,335,195,335,down,left,d
300,335,175,335,right,down,a
280,335,175,335,right,down,a
260,335,175,335,right,down,a
240,335,175,335,right,down,a
220,335,175,335,right,down,a
200,335,175,335,right,down,a
180,335,175,335,right,down,a
80,75,175,175,right,right,d
100,75,195,175,right,right,d
120,75,215,175,right,right,d
140,75,215,175,right,right,d
160,75,235,175,right,up,d
180,75,235,155,right,up,d
200,75,235,155,right,up,d
220,75,235,135,right,up,d
240,75,235,115,right,up,s
240,95,215,115,right,left,s
240,115,215,115,right,left,s
240,135,195,115,right,left,s
240,155,175,115,right,left,s
240,175,175,115,right,left,s
240,195,155,115,down,up,a
220,195,155,95,down,up,a
200,195,155,95,down,up,a
180,195,155,75,down,up,a
160,195,155,55,down,up,a
140,195,135,55,left,left,w
140,175,135,55,left,left,w
140,155,115,55,left,left,w
140,135,95,55,left,left,w
140,115,95,55,left,left,w
140,95,75,55,left,right,w
140,75,95,55,up,right,a
120,75,95,55,up,right,a
100,75,115,55,up,right,a
80,75,135,55,up,right,a
60,75,115,55,up,left,a
40,75,115,55,left,left,w
40,55,95,55,left,left,w
40,35,75,55,up,left,d
60,35,75,55,up,left,d
80,35,55,55,up,left,d
100,35,35,55,up,left,d
120,35,35,55,up,left,d
140,35,15,55,up,left,d
160,35,-5,55,up,left,d
180,35,15,55,right,right,a
160,35,15,55,right,right,a
140,35,35,55,right,right,a
120,35,55,55,right,right,a
100,35,55,55,right,right,a
80,35,75,55,left,left,s
100,75,175,175,right,right,s
100,115,195,175,right,right,s
100,135,215,175,right,up,s
100,175,215,155,down,up,d
140,175,215,135,down,up,d
160,175,215,115,down,up,d
200,175,215,95,down,up,d
220,155,215,75,right,up,w
220,135,215,55,right,down,w
220,95,215,75,right,down,w
100,75,175,175,right,right,d
140,75,195,175,right,right,d
160,75,215,175,right,up,d
180,95,215,155,right,up,s
180,135,215,135,right,up,s
180,155,215,115,right,up,s
180,195,215,95,down,up,d
220,195,215,75,down,up,d
240,195,215,55,right,down,w
240,155,215,75,right,down,w
240,115,215,95,right,down,w
240,95,215,115,right,right,w
100,75,175,175,right,right,d
140,75,195,175,right,right,d
160,75,215,175,right,up,d
180,95,215,155,right,up,s
180,135,215,135,right,up,s
180,155,215,115,right,up,s
200,175,215,95,down,up,d
240,175,215,75,down,up,d
240,155,215,55,right,down,w
240,115,215,75,right,down,w
240,75,215,95,right,down,w
240,55,215,115,up,right,a
200,55,235,115,up,right,a
160,55,255,115,up,right,a
140,55,275,115,up,right,a
140,55,295,115,left,right,d
180,55,315,115,left,right,d
200,55,335,115,left,up,d
240,55,335,95,left,up,d
280,55,335,75,left,up,d
300,55,335,55,left,down,d
340,55,335,75,left,down,d
20,55,335,95,left,down,d
40,55,335,115,left,right,d
80,55,335,115,right,right,s
80,95,335,115,right,right,s
80,115,335,115,right,down,s
60,135,335,135,down,down,a
20,135,335,155,down,down,a
0,135,335,175,down,right,a
310,135,335,175,down,right,a
270,135,335,175,down,right,a
270,155,335,175,left,right,s
290,175,335,175,down,right,d
330,175,335,175,down,right,d
100,75,175,175,right,right,d
140,75,195,175,right,right,d
160,75,215,175,right,right,d
200,75,235,175,right,right,s
200,115,255,175,right,right,s
200,135,275,175,right,down,s
200,175,275,195,right,down,s
240,175,275,215,down,down,d
260,175,275,235,down,left,d
300,175,255,235,down,left,d
320,195,235,235,right,left,s
320,215,215,235,right,left,s
320,255,195,235,right,left,s
300,275,175,235,down,left,a
280,275,155,235,down,up,a
240,275,155,215,down,up,a
220,255,155,195,left,up,w
220,235,155,175,left,down,w
220,195,155,195,left,down,w
220,155,155,215,up,down,a
200,155,155,235,up,down,a
160,155,155,255,up,down,a
140,175,155,275,left,down,s
140,195,155,295,left,up,s
140,235,155,275,down,up,d
180,235,155,255,down,up,d
200,235,155,235,down,down,d
